Year,Event,Name,NOC,Awarded_Medal
2028,Men's Greco-Roman 130kg,Heiki Nabi,Estonia,Bronze
2028,Men's Greco-Roman 60kg,Kenichiro Fumita,Japan,Gold
2028,Men's Greco-Roman 60kg,Liguo Cao,China,Silver
2028,Men's Greco-Roman 60kg,Razvan Arnaut,Romania,Bronze
2028,Men's Greco-Roman 67kg,Kyotaro Sogabe,Japan,Gold
2028,Men's Greco-Roman 67kg,Alberto Orta,Cuba,Silver
2028,Men's Greco-Roman 67kg,Parviz Nasibov,Ukraine,Bronze
2028,Men's Greco-Roman 77kg,Nao Kusaka,Japan,Gold
2028,Men's Greco-Roman 77kg,Ameer Bey,United States,Silver
2028,Men's Greco-Roman 77kg,Akzhol Makhmudov,Kyrgyzstan,Bronze
2028,Men's Greco-Roman 87kg,Zhan Beleniuk,Ukraine,Gold
2028,Men's Greco-Roman 87kg,Jon Jacobson,United States,Silver
2028,Men's Greco-Roman 87kg,Sergeevich Novikov,Bulgaria,Bronze
2028,Men's Greco-Roman 97kg,Artur Aleksanyan,Armenia,Gold
2028,Men's Greco-Roman 97kg,Patrick Rau,United States,Silver
2028,Men's Greco-Roman 97kg,Alexandros Lazogianis,Germany,Bronze
2028,Men's Hammer Throw,Wojciech Nowicki,Poland,Gold
2028,Men's Hammer Throw,Ethan Katzberg,Canada,Silver
2028,Men's Hammer Throw,Bence Halasz,Hungary,Bronze
2028,Men's High Jump,Gianmarco Tamberi,Italy,Gold
2028,Men's High Jump,Essa Barshim,Qatar,Silver
2028,Men's High Jump,Hamish Kerr,New Zealand,Bronze
2028,Men's Horizontal Bar,Max Whitlock,Great Britain,Gold
2028,Men's Horizontal Bar,Jingyuan Zou,China,Silver
2028,Men's Horizontal Bar,Daiki Hashimoto,Japan,Bronze
2028,Men's Individual,Charles Brown,Great Britain,Gold
2028,Men's Individual,Woojin Kim,South Korea,Silver
2028,Men's Individual,Emil Holm,Denmark,Bronze
2028,Men's Individual Stroke Play,Xander Schauffele,United States,Gold
2028,Men's Individual Stroke Play,Scottie Scheffler,United States,Silver
2028,Men's Individual Stroke Play,Jason Day,Australia,Bronze
2028,Men's Individual Time Trial,Remco Evenepoel,Belgium,Gold
2028,Men's Individual Time Trial,Filippo Ganna,Italy,Silver
2028,Men's Individual Time Trial,van Wout,Belgium,Bronze
2028,Men's Javelin Throw,Neeraj Chopra,India,Gold
2028,Men's Javelin Throw,Keshorn Walcott,Trinidad and Tobago,Silver
2028,Men's Javelin Throw,Curtis Thompson,United States,Bronze
2028,Men's Kayak Cross,Timothy Anderson,Australia,Gold
2028,Men's Kayak Cross,Joseph Clarke,Great Britain,Silver
2028,Men's Kayak Cross,de Giovanni,Italy,Bronze
2028,Men's Kayak Double 500m,Max Rendschmidt,Germany,Gold
2028,Men's Kayak Double 500m,Max Lemke,Germany,Silver
2028,Men's Kayak Double 500m,Messias Baptista,Portugal,Bronze
2028,Men's Kayak Four 500m,Max Rendschmidt,Germany,Gold
2028,Men's Kayak Four 500m,Max Lemke,Germany,Silver
2028,Men's Kayak Four 500m,Jacob Schopf,Germany,Bronze
2028,Men's Kayak Single,Timothy Anderson,Australia,Gold
2028,Men's Kayak Single,Joseph Clarke,Great Britain,Silver
2028,Men's Kayak Single,de Giovanni,Italy,Bronze
2028,Men's Kayak Single 1000m,Balint Kopasz,Hungary,Gold
2028,Men's Kayak Single 1000m,Adam Varga,Hungary,Silver
2028,Men's Kayak Single 1000m,Maxime Beaumont,France,Bronze
2028,Men's Keirin,Harrie Lavreysen,Netherlands,Gold
2028,Men's Keirin,Mikhail Yakovlev,Israel,Silver
2028,Men's Keirin,Jeffrey Hoogland,Netherlands,Bronze
2028,Men's Long Jump,Miltiadis Tentoglou,Greece,Gold
2028,Men's Long Jump,Jarrion Lawson,United States,Silver
2028,Men's Long Jump,Malcolm Clemons,United States,Bronze
2028,Men's Madison,Rui Oliveira,Portugal,Gold
2028,Men's Madison,Elia Viviani,Italy,Silver
2028,Men's Madison,Sam Welsford,Australia,Bronze
2028,Men's Marathon,Eliud Kipchoge,Kenya,Gold
2028,Men's Marathon,Tamirat Tola,Ethiopia,Silver
2028,Men's Marathon,Bashir Abdi,Belgium,Bronze
2028,Men's Omnium,Rui Oliveira,Portugal,Gold
2028,Men's Omnium,Elia Viviani,Italy,Silver
2028,Men's Omnium,Sam Welsford,Australia,Bronze
2028,Men's Pair,John Smith,South Africa,Gold
2028,Men's Pair,Valent Sinkovic,Croatia,Silver
2028,Men's Pair,Martin Sinkovic,Croatia,Bronze
2028,Men's Parallel Bars,Max Whitlock,Great Britain,Gold
2028,Men's Parallel Bars,Jingyuan Zou,China,Silver
2028,Men's Parallel Bars,Daiki Hashimoto,Japan,Bronze
2028,Men's Park,Keegan Palmer,Australia,Gold
2028,Men's Park,Logan Martin,Australia,Silver
2028,Men's Park,Jose Torres,Argentina,Bronze
